@relation doc-subject

@attribute filename numeric
@attribute clusterID numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
3323,0,0,0,0.611572,0,0,0,0.185966,0,0.202462,0,0,0,0,0,0
3233,1,0.035754,0,0,0.000022,0,0,0.95556,0,0,0,0,0.008664,0,0,0
3529,1,0,0,0,0,0,0.000001,0.909066,0,0,0.000424,0.02989,0.06062,0,0,0
3499,9,0.000273,0.581313,0.006843,0.000032,0.000001,0.000001,0.00036,0.011919,0.000001,0.275199,0.000499,0.000001,0.123423,0.000001,0.000132
3285,2,0,0,0,0.000306,0,0,0,0.978312,0,0.000592,0.017462,0.003329,0,0,0
3510,1,0,0,0,0.000114,0,0,0.948116,0.000001,0.051756,0,0.000001,0,0.000011,0,0
2922,8,0.001986,0.00001,0,0.027208,0,0.000008,0,0.000012,0.768307,0,0,0,0.175516,0.001294,0.025659
3501,12,0.000012,0,0,0.981678,0,0.000005,0,0.000015,0.008915,0,0.00937,0.000004,0,0,0
3077,14,0.194448,0.004662,0.000044,0.000021,0.000001,0.000015,0.000006,0.000003,0.081401,0,0.000001,0.000001,0.719335,0.000062,0
3303,0,0,0,0.900337,0.005481,0,0,0,0.077044,0.000025,0.000046,0.007255,0,0.009807,0,0.000004
3218,12,0.000002,0.002908,0,0.574771,0.01884,0.00275,0.007929,0.000012,0.000001,0.0026,0.389469,0.000046,0.000037,0.000635,0
3549,0,0,0,0.592276,0,0,0.000001,0.01031,0,0.397413,0,0,0,0,0,0
2979,13,0.001153,0.000362,0.02497,0,0.005422,0.874261,0.000025,0.000018,0.006447,0.001456,0.000003,0.000269,0.00002,0.00121,0.084382
3041,13,0,0,0,0,0,0.999998,0,0.000001,0.000001,0,0,0,0,0,0
3247,5,0.000003,0.000003,0,0,0,0,0,0,0,0,0,0.000001,0,0.999992,0
2903,11,0,0,0,0,0,0,0,0,0,0.000001,0.000001,0.999998,0,0,0
3228,7,0,0,0,0,0,0,0,0,0,0,0.999985,0.000015,0,0,0
2954,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3238,12,0.000018,0.000004,0,0.937206,0,0.00083,0.044589,0.000001,0.009793,0.000068,0.000009,0.000318,0,0.000006,0.007161
3358,12,0,0.000001,0,0.817055,0,0,0.182706,0,0.000237,0,0,0,0,0,0
3324,7,0,0.000013,0,0,0,0,0,0,0,0.000177,0.999807,0,0.000002,0,0
3096,2,0,0,0.000002,0.000011,0,0,0.046389,0.921314,0.032284,0,0,0,0.000001,0,0
3415,6,0,0.000712,0.000046,0.182333,0,0.009428,0.093727,0.000071,0.001545,0.707343,0.000816,0.000003,0.000007,0.000002,0.003966
2966,8,0,0.000108,0.037459,0,0,0.000037,0.006541,0,0.955722,0.000127,0.000006,0,0,0,0
3067,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3276,4,0.000261,0,0.000083,0,0,0,0,0,0,0.000003,0,0,0,0,0.999652
3200,12,0.424429,0,0.000057,0.561114,0,0.013006,0.000078,0.000008,0.000043,0.000006,0.001179,0,0.000026,0.000003,0.000052
3315,4,0.037812,0,0.000003,0.060572,0,0.000093,0.000314,0.018882,0.010431,0.044589,0,0.008067,0.019049,0.102851,0.697336
3351,5,0.000005,0,0,0,0,0,0,0,0,0,0,0.000002,0,0.999993,0
3357,12,0.000142,0,0,0.999851,0,0,0.000006,0,0.000001,0,0,0,0,0,0
2943,0,0,0,0.999216,0,0,0.000259,0.000518,0,0.000008,0,0,0,0,0,0
3485,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3438,7,0,0,0,0,0,0,0,0,0,0,0.999962,0.000038,0,0,0
3258,10,0.953781,0,0,0.046209,0,0,0,0,0.000007,0,0.000001,0,0,0,0.000002
2975,8,0,0,0.000049,0,0,0,0,0,0.999951,0,0,0,0,0,0
3070,14,0.000001,0,0.000023,0,0.002389,0.000042,0.000095,0.000012,0.000011,0.047359,0.000463,0.016529,0.929505,0.003545,0.000026
3270,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3272,9,0,0.911242,0,0.009542,0.000001,0.000001,0.003895,0.000161,0,0.025994,0.022844,0.026281,0.000025,0.00001,0.000004
3170,10,0.895842,0,0,0.003091,0,0.000002,0.000594,0.000621,0.000012,0.076893,0,0.000177,0.000108,0.022577,0.000082
3279,1,0,0,0,0,0,0,0.999919,0,0.000003,0,0.000079,0,0,0,0
3473,4,0.002396,0,0.000004,0.043886,0,0,0.003177,0.000274,0.026268,0.000007,0.000001,0,0.000704,0,0.923282
3436,6,0,0,0,0.000002,0,0,0.000087,0,0.000001,0.999889,0.000004,0.000017,0,0,0
3203,1,0,0.033958,0,0.000841,0,0,0.909364,0,0.000551,0.000365,0.054907,0,0.000001,0.000011,0
3256,3,0.002196,0,0.000001,0.000001,0.997122,0,0.00001,0.000001,0.000002,0.000229,0,0.000143,0.000003,0.000292,0.000001
3025,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3102,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3360,6,0.000069,0.00008,0,0.000018,0.000348,0.000195,0.002205,0.000001,0,0.879148,0.09777,0.017211,0.000016,0.002927,0.000011
2952,1,0.002566,0,0,0.042014,0.000006,0.000001,0.702034,0.025647,0.1487,0.075723,0.000024,0.003278,0.000001,0.000007,0
3197,13,0,0.000619,0.029869,0.000064,0,0.825532,0.109868,0,0.000099,0.000005,0.033942,0.000001,0,0,0.000001
3059,2,0.000008,0,0,0.000004,0,0,0,0.999027,0,0.000333,0,0,0.000046,0.000495,0.000087
3167,11,0.000003,0.163695,0.011939,0.032142,0,0,0,0,0.011074,0.244754,0.000115,0.521769,0.014162,0.000343,0.000004
2925,12,0.01524,0.000027,0.003255,0.343612,0.000357,0.000679,0.250821,0.001224,0.040495,0.042949,0.150244,0.074715,0.002121,0.03766,0.036603
2874,14,0.000014,0.004168,0.000774,0.119047,0.000001,0,0.000001,0,0.000049,0.012122,0.00236,0.000002,0.680762,0.180701,0
2950,6,0,0.000006,0,0,0,0.000002,0,0.000103,0,0.999861,0,0.000003,0.000016,0.000009,0
3106,5,0.003459,0.000114,0.001342,0.018281,0,0.000001,0.000056,0.000049,0.000651,0.00042,0.000008,0,0.000958,0.871988,0.102675
2948,1,0,0,0.003275,0.00001,0,0,0.903712,0,0.000677,0.089822,0.002504,0,0,0,0
3199,9,0.000015,0.902069,0.001724,0.008705,0.000011,0.000013,0.031482,0.000547,0.000282,0.014168,0.001343,0.037781,0.0002,0.001659,0
3306,10,0.566953,0.000002,0.004495,0.22035,0.000003,0.000465,0.012388,0.000111,0.069362,0.004602,0.000306,0.000095,0.00898,0.000001,0.111888
3367,9,0,0.999996,0,0,0.000002,0,0,0,0,0.000001,0,0,0,0,0
3216,10,0.796692,0,0,0.000149,0,0,0,0.001153,0,0,0.000028,0.000027,0.201951,0,0
3488,4,0,0,0,0.013591,0,0,0,0,0,0.313043,0.022478,0.001364,0,0.000004,0.649518
3180,13,0,0.002026,0.047601,0.005432,0.000001,0.715644,0.002235,0.000004,0.000316,0.071426,0.155103,0,0.000148,0,0.000065
3030,14,0,0,0,0,0,0,0,0,0,0,0,0,0.999933,0.000067,0
2977,10,0.576151,0.000001,0.000004,0.000052,0.000012,0.017796,0.000001,0.000365,0.00001,0.319232,0.00009,0.000001,0.086281,0.000004,0
3527,0,0.000128,0,0.989965,0.000129,0.008041,0.000005,0,0.000544,0,0.00082,0.000135,0.000092,0.000038,0.000091,0.000012
3103,1,0.000002,0,0.011277,0.032581,0,0.000009,0.952574,0.000001,0.003177,0.000096,0,0.000001,0.000003,0.000264,0.000014
3237,5,0,0,0,0.009226,0.000014,0.000003,0.000005,0.000847,0.000588,0.027799,0.00023,0.003498,0.000011,0.957748,0.000031
2945,10,0.885968,0.000027,0,0,0.000111,0.000002,0,0.000003,0,0,0.102841,0.008302,0.000157,0.002569,0.000022
2937,10,0.693609,0.019746,0,0.025864,0,0.000018,0.00001,0.185471,0.008475,0.051361,0.000078,0.001434,0.000011,0.013923,0.000001
3236,8,0,0,0.331517,0,0,0,0,0,0.668483,0,0,0,0,0,0
3407,2,0.000082,0,0,0,0,0.000036,0,0.825551,0,0.000001,0.00001,0.000001,0.17431,0.000008,0
3044,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2879,13,0,0,0,0,0,0.999536,0,0,0.00021,0.000078,0.000176,0,0,0,0
2918,13,0,0,0,0,0,0.975496,0,0,0,0.00031,0,0.024114,0,0.000079,0
3066,11,0.027057,0.005312,0,0.000086,0,0.000029,0,0.015126,0.000091,0.01704,0,0.588897,0.330414,0.001372,0.014576
3255,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2854,14,0.000012,0,0,0,0,0,0,0.000001,0,0.000014,0,0,0.999859,0.000009,0.000106
3310,6,0,0,0,0.057169,0,0.00009,0.008763,0,0,0.933495,0.000004,0.000005,0.000472,0.000002,0
3062,3,0,0,0,0,0.999995,0.000001,0.000004,0,0,0,0,0,0,0,0
3429,11,0,0,0,0,0.000013,0,0,0,0,0.000006,0,0.999981,0,0,0
3319,10,0.999976,0,0,0,0,0,0,0,0,0.000002,0,0.000006,0,0.000015,0
3056,8,0,0,0.06037,0,0,0,0,0,0.939618,0,0,0,0,0,0.000013
3069,9,0,0.497666,0,0.194358,0.000692,0,0,0.031995,0,0.176869,0.085862,0.012534,0.000024,0,0
2868,0,0,0,0.999559,0,0,0.000003,0.000325,0,0.000101,0.000001,0.000009,0.000002,0,0,0
3362,13,0.000004,0,0,0,0,0.999921,0,0,0,0,0,0,0.000062,0.000012,0
3443,7,0,0,0.000176,0,0,0,0,0,0.087975,0,0.911849,0,0,0,0
2892,2,0.000001,0.006888,0,0.295131,0,0.000006,0,0.539183,0.000001,0.144178,0.011643,0,0.001109,0.000034,0.001825
3094,4,0.000011,0.000912,0,0.117731,0.000013,0.000088,0,0.074638,0,0.126591,0.049154,0.022556,0.000002,0,0.608303
3160,7,0,0,0,0,0,0,0,0,0,0.000026,0.999974,0,0,0,0
3414,5,0.011818,0,0,0,0,0,0,0,0,0,0,0,0,0.988182,0
3313,9,0,0.99514,0,0.000005,0.000774,0,0,0,0,0.000091,0,0.003981,0,0.000009,0
3532,0,0.000216,0.000233,0.947505,0.003164,0.003966,0.000003,0.000046,0.000002,0.00008,0.000626,0.016497,0.002702,0.000434,0.024523,0.000004
3391,0,0.008168,0.006064,0.985585,0,0.000047,0.000004,0.000002,0.000099,0,0,0,0,0.00003,0,0
3246,7,0,0.000135,0.005936,0.003273,0,0.000003,0.011226,0,0.0024,0.037976,0.939029,0,0.000018,0.000003,0.000001
3352,9,0.00121,0.993362,0,0,0,0.000132,0,0.000027,0,0.000191,0.000016,0.000661,0.004383,0.000016,0.000002
2889,4,0.061834,0.004399,0.000001,0,0.026705,0.000544,0.000004,0.281989,0,0.000309,0.066167,0,0.045904,0.007346,0.504798
3498,0,0.000004,0.001112,0.973697,0.000006,0,0,0.000001,0,0.000007,0.000116,0.003099,0.021943,0.000002,0.000011,0
3277,2,0.188267,0.000007,0,0.000367,0.000685,0.000793,0,0.8025,0.000013,0.00002,0,0.000391,0.000215,0.00674,0.000001
3099,2,0,0,0.000012,0,0,0,0,0.999984,0.000005,0,0,0,0,0,0
3525,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3097,4,0.003061,0.000216,0,0.000001,0.000001,0.000172,0.000003,0.00004,0.000069,0,0.00003,0.000049,0.000091,0.0004,0.995867
3210,5,0,0.000021,0.076877,0.036231,0.023815,0,0.000009,0.000011,0.000025,0.006725,0.001305,0.000834,0.000087,0.854052,0.000009
3147,6,0.000002,0.000055,0,0.02677,0,0,0.07521,0,0,0.897962,0,0,0,0,0
3139,0,0,0,0.822576,0.02538,0,0.000011,0.000026,0,0.151993,0,0,0,0,0.000008,0.000005
3452,7,0,0.105597,0,0.00002,0,0.000001,0.029266,0,0.000004,0.022996,0.842115,0,0.000001,0,0
2953,8,0,0,0,0,0,0,0,0,0.999992,0.000006,0,0,0,0,0.000001
3052,8,0,0,0.000001,0,0,0.000003,0.003703,0,0.996293,0,0,0,0,0,0
2886,3,0,0,0.000502,0.247949,0.750082,0.000061,0.000092,0.000002,0.00072,0.000028,0,0.000011,0,0,0.000554
3458,9,0,0.999909,0,0.00009,0,0,0,0,0,0,0,0.000001,0,0,0
3312,1,0,0,0.02882,0,0,0,0.970882,0,0.00008,0.000006,0.000002,0.000209,0,0,0
3192,1,0,0.000627,0.029487,0,0,0,0.969336,0,0,0.000303,0,0.000246,0,0,0
2898,2,0,0.000043,0,0.003474,0,0,0,0.972939,0,0,0.000115,0.023429,0,0,0
3441,5,0.044523,0.000132,0.000111,0.000002,0.006795,0.000011,0.000002,0.000004,0.000001,0.000076,0.000078,0.000154,0.00025,0.947855,0.000007
2915,10,0.999814,0,0,0,0,0,0,0.000005,0,0,0,0,0.000181,0,0
3241,2,0.00009,0.000003,0.000036,0.299717,0.000001,0.000028,0.000502,0.658921,0.00323,0.000447,0.014173,0.00061,0.006837,0.000034,0.01537
2880,4,0,0,0,0.000014,0,0.000004,0.001496,0.000003,0.221795,0,0,0,0,0,0.776688
3020,11,0,0,0,0,0.000001,0,0.000001,0,0.000385,0,0.000001,0.99961,0.000001,0,0
3513,0,0,0.008027,0.585085,0,0,0.004982,0.000489,0,0.401414,0,0.000003,0,0,0,0
3508,10,0.992246,0.000219,0,0,0.000001,0,0,0,0,0,0,0.006428,0,0.001106,0
2912,11,0.018601,0.09559,0,0.041659,0,0,0,0.002132,0,0.000002,0,0.841758,0.000046,0.000129,0.000084
3478,6,0,0,0.000002,0.001472,0,0.000003,0.000069,0,0.004844,0.983008,0.000882,0.009717,0,0.000002,0.000002
3009,12,0,0,0,0.999797,0,0,0.000003,0,0,0.000029,0,0.00017,0,0,0
3396,2,0,0.000008,0,0,0,0,0.000006,0.999595,0.00003,0,0.000015,0,0.000345,0,0
3232,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3535,2,0,0.002296,0.000636,0.011611,0.002465,0.000244,0,0.645212,0,0.03132,0.141296,0.164571,0.000004,0.000083,0.000261
3017,5,0.000015,0.000001,0.00029,0.138908,0,0.000001,0.000179,0,0.002966,0.006295,0.000038,0.002651,0.000265,0.842954,0.005437
3371,12,0,0.002968,0.000003,0.529955,0.024233,0.011761,0.145818,0.000004,0.000105,0.06911,0.161394,0.000004,0.000011,0.000001,0.054635
2923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3021,1,0.000141,0,0,0.000099,0,0,0.974844,0,0.018112,0.000001,0,0,0.000416,0,0.006386
3116,7,0.000053,0.000003,0,0.000001,0,0.000001,0,0,0.005333,0,0.928272,0,0.061406,0.00036,0.00457
3212,1,0,0,0.006414,0.000001,0,0,0.960374,0,0.000009,0.008256,0.024945,0,0,0,0
3227,8,0.000004,0.000009,0,0,0.000035,0,0.000016,0,0.998207,0,0.000001,0.000048,0.00001,0.001669,0
3465,5,0.000349,0.000001,0,0.018753,0.000001,0.000105,0.000246,0,0.00001,0.000011,0,0,0.000233,0.980271,0.000022
2913,8,0.000055,0,0,0,0,0,0,0,0.999944,0,0,0,0,0,0
3024,2,0,0,0,0,0,0.000005,0,0.999935,0,0.000048,0,0,0.000011,0,0
3369,14,0.108684,0.066708,0.114329,0.000167,0.017166,0.000025,0.00001,0.000001,0.000292,0.006668,0.000833,0.000133,0.572757,0.000329,0.111897
3240,14,0.000002,0.007858,0.000002,0.000403,0,0.001134,0.000025,0.071116,0.000001,0.235396,0.022157,0,0.654658,0.007248,0
3387,4,0,0,0,0.044903,0,0.000042,0,0.005059,0,0.000058,0.015245,0.003312,0.028914,0,0.902467
3471,10,0.971315,0.000037,0.000001,0.000018,0.010764,0.000755,0,0.004832,0,0.000774,0.000009,0.001384,0.003425,0.006687,0
3344,0,0.000021,0.000065,0.941445,0.033756,0.000004,0.000604,0.017607,0,0.000002,0.000197,0.004518,0.000021,0.001626,0.000133,0.000001
3287,14,0,0,0.000055,0.207495,0,0.000004,0.02991,0.001483,0.19007,0.053167,0.000447,0.000003,0.517365,0,0
3481,10,0.930495,0,0,0.000007,0,0.000002,0.000001,0,0.00326,0.020041,0,0.000007,0.000058,0.042429,0.0037
3326,7,0,0,0,0,0,0,0,0,0,0.000006,0.999994,0,0,0,0
3335,4,0.000004,0,0,0,0.000002,0.000167,0,0.002988,0,0.000267,0,0.000432,0,0.003783,0.992357
3035,13,0,0.000101,0.003327,0.000012,0,0.734211,0,0.000098,0,0.000642,0.261523,0.00001,0.000075,0,0
2963,1,0.00136,0.000001,0.000007,0.004784,0.000055,0.000149,0.701372,0.096878,0.00002,0.015729,0,0.000545,0.179086,0.000014,0.000001
3083,1,0,0.105178,0,0.000545,0.000005,0.021065,0.867839,0.000001,0,0.000012,0.004852,0.000482,0,0.000021,0
3449,8,0,0,0,0,0,0,0.000001,0,0.999987,0,0.000005,0,0,0,0.000005
3082,1,0,0,0.184117,0,0,0.051452,0.713206,0.001021,0.041675,0.000145,0,0,0,0.008383,0
3065,6,0,0.000285,0,0.000005,0,0.00028,0,0.000001,0,0.989928,0,0.000005,0,0.009495,0
3451,3,0.000002,0.033141,0.000979,0.018205,0.945011,0,0.000001,0,0,0.000006,0.002501,0.000025,0,0.000002,0.000127
3464,1,0,0,0.078152,0,0,0.000131,0.907424,0,0.013837,0.000455,0,0,0,0,0
3144,9,0,0.999894,0,0,0,0,0,0,0,0.000087,0.000001,0.000017,0,0,0
3393,9,0,0.969337,0,0.000007,0,0.00197,0.000141,0,0.000002,0.00157,0.026972,0,0,0,0
3432,11,0,0,0,0.009673,0,0.000008,0,0.000003,0,0.000009,0.216461,0.773846,0,0,0
3340,8,0,0,0,0,0,0,0.000009,0.00002,0.99897,0.000006,0,0,0.000996,0,0
3341,6,0.000001,0,0,0.000036,0,0.000001,0.358005,0.000087,0.000101,0.63312,0.000002,0.000001,0,0.001679,0.006967
2869,4,0.00002,0,0,0.000015,0.000003,0.00083,0.000001,0.000013,0,0.00007,0.001337,0,0.000007,0.184706,0.812998
3492,11,0,0,0,0.000385,0.000018,0,0,0,0,0,0.026409,0.973188,0,0,0
3399,6,0.000005,0.000002,0.001251,0.051716,0.000099,0.000002,0.021771,0.000157,0.011981,0.844545,0.024979,0.043193,0.000022,0,0.000277
3182,0,0,0,0.982151,0,0,0,0.000872,0,0.016962,0,0.000015,0,0,0,0
2959,12,0,0.000708,0,0.952469,0,0,0.016672,0,0,0,0.0239,0,0,0,0.006251
3548,8,0,0,0.0647,0.000001,0,0.000082,0.37219,0,0.563028,0,0,0,0,0,0
3208,3,0.000001,0,0,0,0.999747,0,0,0,0,0.00024,0,0.000003,0.000001,0.000009,0
3282,0,0.000002,0.00279,0.854765,0,0,0,0.000002,0.000031,0.000011,0.00149,0.140908,0,0,0,0
2974,2,0.137895,0.056425,0.000526,0.00036,0.016175,0.000011,0.00013,0.436502,0,0.000059,0.016678,0.028066,0.193344,0.110692,0.003137
3439,2,0.000002,0.000055,0.00001,0.088165,0.000282,0.000568,0.00057,0.776167,0.000001,0.000272,0.081528,0.022468,0.001715,0.028173,0.000024
2992,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2893,3,0,0.000001,0,0,0.999995,0,0,0,0,0,0.000004,0,0,0,0
3267,4,0,0,0,0,0,0,0,0,0,0.000025,0,0,0,0,0.999974
3329,0,0,0,0.922777,0.00006,0,0.000002,0,0.000089,0,0.075417,0.000014,0,0.00164,0,0
2860,10,0.993159,0.004602,0,0,0,0.000002,0,0,0,0.000023,0.000023,0,0.002189,0.000002,0
3012,10,0.996776,0,0.000001,0,0,0,0,0.000002,0.000001,0.002805,0,0,0.0004,0,0.000016
3076,0,0,0,0.999994,0,0,0,0,0,0,0.000004,0,0.000002,0,0,0
3515,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3259,10,0.997626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002373
3534,4,0,0,0,0.00038,0,0,0.000014,0.00007,0.096168,0.000017,0,0,0,0,0.90335
2956,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3350,0,0,0,0.999627,0,0,0,0.000373,0,0,0,0,0,0,0,0
3105,12,0,0,0,0.998011,0,0,0.000809,0.000005,0,0.000007,0.00116,0.000008,0,0,0
3299,4,0.000004,0.000001,0,0.01594,0.000022,0,0.000361,0.0065,0.000001,0.093924,0.000145,0.000012,0.000226,0.000001,0.882863
