@relation doc-subject

@attribute filename numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
4243,0.018336,0.052572,0.063899,0.032849,0.082713,0.109908,0.041077,0.100872,0.032034,0.034054,0.079695,0.107838,0.100926,0.027347,0.115881
3629,0.059415,0.058518,0.036343,0.154594,0.036152,0.093243,0.065607,0.098882,0.12803,0.143839,0.000814,0.024794,0.055787,0.007123,0.03686
4469,0.090646,0.07822,0.039216,0.07764,0.085494,0.065597,0.041477,0.022513,0.036901,0.077518,0.040666,0.07317,0.07314,0.114165,0.083636
4660,0.076779,0.006021,0.10591,0.082571,0.001028,0.098644,0.065472,0.134028,0.024346,0.002327,0.034839,0.109974,0.109522,0.079947,0.068591
4282,0.10012,0.034314,0.05629,0.071706,0.092603,0.031597,0.041158,0.036507,0.044272,0.052837,0.125192,0.101203,0.057416,0.043168,0.111617
4179,0.049837,0.087211,0.05189,0.032062,0.008634,0.080146,0.109104,0.098423,0.099701,0.009572,0.118502,0.025197,0.129049,0.075015,0.025658
3789,0.090978,0.008348,0.11936,0.104928,0.014258,0.034569,0.035476,0.072309,0.008995,0.05017,0.098258,0.097418,0.035755,0.120377,0.108802
3735,0.084347,0.104803,0.013917,0.101149,0.076772,0.092519,0.017511,0.054398,0.059796,0.024269,0.093062,0.05157,0.076183,0.094887,0.054817
3687,0.097717,0.074333,0.072697,0.150195,0.05607,0.035537,0.076028,0.096818,0.021092,0.023041,0.116696,0.040945,0.088391,0.008424,0.042018
4494,0.11056,0.007641,0.104636,0.115108,0.059032,0.054688,0.007129,0.077382,0.123088,0.046603,0.09585,0.100828,0.053495,0.036745,0.007216
3713,0.050438,0.057737,0.080359,0.028795,0.080872,0.062768,0.092674,0.072808,0.106713,0.120622,0.075119,0.047502,0.026503,0.06082,0.03627
3633,0.07393,0.01106,0.036021,0.007354,0.079574,0.1152,0.089101,0.05144,0.122236,0.097298,0.116342,0.051262,0.051438,0.093941,0.003803
4215,0.072205,0.033009,0.079432,0.042623,0.10684,0.102635,0.074255,0.087687,0.075384,0.026756,0.058472,0.072364,0.059201,0.039869,0.069268
3956,0.025331,0.093978,0.078482,0.008088,0.123087,0.006238,0.133162,0.028722,0.05578,0.10627,0.05982,0.085421,0.030547,0.091272,0.073803
3681,0.029111,0.055352,0.075517,0.077607,0.076705,0.087218,0.05131,0.110321,0.023667,0.067813,0.050051,0.052464,0.114115,0.05186,0.076887
4742,0.037237,0.072577,0.012178,0.052676,0.106663,0.021219,0.048398,0.010702,0.086874,0.106295,0.160727,0.050379,0.004648,0.098357,0.131069
4205,0.034392,0.00763,0.03589,0.113456,0.079477,0.11695,0.105966,0.008041,0.063319,0.011497,0.064638,0.089351,0.119039,0.043908,0.106445
4281,0.099316,0.020503,0.082234,0.072587,0.118059,0.067284,0.03285,0.092965,0.047312,0.115823,0.102789,0.095793,0.016648,0.030325,0.005511
4768,0.013118,0.04071,0.088868,0.087874,0.101169,0.055464,0.133939,0.039352,0.124032,0.045833,0.04337,0.009456,0.116718,0.080283,0.019815
4288,0.012767,0.027908,0.064596,0.086965,0.089884,0.064765,0.130942,0.074687,0.086653,0.109633,0.042699,0.000622,0.033419,0.081014,0.093447
4259,0.079344,0.002934,0.118193,0.003652,0.127256,0.113763,0.006612,0.128273,0.013601,0.113746,0.110902,0.048289,0.064523,0.014471,0.054441
4697,0.076721,0.010827,0.07366,0.130933,0.013442,0.112107,0.131365,0.029622,0.033558,0.074153,0.140149,0.034864,0.020919,0.088207,0.029474
3804,0.010364,0.111102,0.019988,0.088648,0.01217,0.092835,0.11693,0.059299,0.057104,0.010338,0.077794,0.091951,0.095711,0.045737,0.110032
4103,0.096665,0.039873,0.067426,0.07436,0.101993,0.106771,0.09715,0.101814,0.070244,0.048196,0.032421,0.03618,0.074846,0.045235,0.006825
3907,0.044711,0.104503,0.041799,0.027524,0.05186,0.064259,0.015852,0.099701,0.102676,0.122323,0.093875,0.054722,0.076508,0.009579,0.090108
3593,0.025552,0.100329,0.031436,0.105489,0.102652,0.083002,0.064411,0.09675,0.060708,0.039068,0.060789,0.047863,0.084911,0.089129,0.007911
4303,0.076604,0.046651,0.084395,0.019672,0.08514,0.028606,0.060347,0.124494,0.021419,0.118402,0.065676,0.094126,0.052899,0.099057,0.022512
3682,0.104027,0.066169,0.020452,0.048836,0.086966,0.045751,0.042943,0.076996,0.066471,0.09174,0.003124,0.113943,0.085915,0.124208,0.022459
3754,0.027723,0.101319,0.003532,0.094919,0.008196,0.068525,0.024218,0.114186,0.060114,0.042134,0.087701,0.052668,0.121617,0.112771,0.080376
