@relation centroids

@attribute clusterID numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
0,0.002535,0.001781,0.003143,0.000781,0.008013,0.00442,0.004558,0.877673,0.027025,0.000488,0.012617,0.003522,0.017537,0.034026,0.001879
1,0.01004,0.200164,0.016933,0.005421,0.251452,0.013832,0.019085,0.00869,0.003569,0.009663,0.030487,0.01641,0.016832,0.022366,0.375056
6,0.022703,0.016788,0.024205,0.004453,0.036356,0.004452,0.003785,0.015897,0.00085,0.007743,0.041483,0.758306,0.036604,0.018882,0.007492
3,0.010694,0.009544,0.005688,0.002979,0.052305,0.002051,0.00417,0.010861,0.004136,0.786826,0.007481,0.02248,0.032821,0.005125,0.042839
9,0.788019,0.018324,0.032513,0.020908,0.013671,0.008199,0.004921,0.004454,0.009142,0.005791,0.013064,0.011011,0.016485,0.028532,0.024966
4,0.008172,0.018699,0.358903,0.031673,0.019108,0.457986,0.004823,0.002356,0.023086,0.000648,0.010187,0.007977,0.014194,0.025961,0.016226
2,0.002351,0.002762,0.014076,0.013516,0.00258,0.033815,0.004938,0.031829,0.477114,0.000374,0.011834,0.007582,0.007082,0.38354,0.006606
7,0.006835,0.019646,0.056726,0.813261,0.011887,0.010546,0.002894,0.014997,0.027067,0.000262,0.005705,0.011118,0.008703,0.006726,0.003628
8,0.016673,0.021119,0.0194,0.003728,0.076091,0.00143,0.012744,0.030516,0.001577,0.000773,0.720068,0.044888,0.024646,0.021575,0.004772
10,0.00465,0.00545,0.002698,0.005123,0.038907,0.019529,0.008074,0.007661,0.004615,0.015574,0.012354,0.001945,0.798534,0.042731,0.032154
5,0.00611,0.016431,0.00916,0.003397,0.028545,0.003412,0.830387,0.010168,0.005799,0.001571,0.011136,0.007314,0.007757,0.032297,0.026516
12,0.0895,0.135794,0.100735,0.074231,0.011209,0.009813,0.010386,0.084454,0.00883,0.113653,0.022653,0.109885,0.122091,0.017776,0.088989
11,0.007768,0.036143,0.006687,0.016251,0.000511,0.839399,0.00649,0.043943,0.002566,0.009551,0.002524,0.004493,0.004377,0.00872,0.010577
16,0.006423,0.022799,0.014596,0.015526,0.017531,0.005822,0.028733,0.005108,0.002224,0.011011,0.056622,0.014119,0.025792,0.766094,0.0076
13,0.009543,0.035573,0.008614,0.011031,0.006449,0.015995,0.796606,0.004269,0.000895,0.013182,0.006461,0.007049,0.028396,0.012077,0.04386
14,0.006512,0.017819,0.013619,0.012766,0.808326,0.003176,0.008976,0.013823,0.020226,0.00402,0.022108,0.005222,0.015752,0.017897,0.029757
15,0.009992,0.026694,0.010522,0.00747,0.043396,0.007902,0.001826,0.018009,0.003389,0.004694,0.792244,0.005036,0.015359,0.04091,0.012557
17,0.010365,0.015249,0.010854,0.010461,0.0151,0.001348,0.003551,0.001591,0.828965,0.022552,0.005627,0.031099,0.005775,0.009131,0.02833
