@relation doc-subject

@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
0,0,0,0.005329,0,0,0,0,0,0,0,0.006445,0.011666,0,0
0,0,0,0,0,0,0,0,0,0,0,0.003095,0,0,0
0,0.08079,0,0,0,0,0,0,0,0,0,0,0,0,0.012896
0,0,0,0.000062,0,0,0,0,0,0,0.03106,0,0,0,0
0,0,0,0.001333,0,0,0,0,0,0,0,0.011858,0.0032,0,0.006164
0,0,0,0.005438,0,0.000001,0.009337,0,0.001288,0,0.0145,0.002039,0.002789,0,0.00291
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.024493,0,0,0,0,0,0,0.007544,0,0
0,0,0,0,0,0,0,0.004572,0,0,0,0,0.037979,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014708
0,0,0,0,0,0,0,0,0.009993,0,0,0,0,0,0
0,0,0,0,0,0,0,0.01362,0,0.004247,0,0,0,0,0.003198
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011579
0,0.002784,0,0.002506,0.004389,0,0,0,0,0,0.012743,0,0.00158,0.002655,0
0,0.004464,0,0,0,0,0,0.012002,0,0,0,0,0,0,0
0,0,0,0,0,0,0.01182,0,0,0,0,0,0,0,0
0.002184,0,0,0.000001,0,0,0,0,0,0.002889,0,0,0.000417,0.026476,0
0,0,0.004225,0.003241,0.003866,0,0,0,0,0,0,0,0.006484,0,0
0,0,0,0.005793,0.015124,0,0,0.004443,0,0,0,0,0,0,0
0.003426,0,0.005486,0.021897,0,0,0,0,0,0,0,0.001485,0.002093,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.018581,0,0,0,0,0,0,0,0
0.002708,0,0,0.016999,0,0.009047,0,0,0,0,0,0,0,0,0
0,0,0.005472,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.010458,0,0,0,0,0,0,0,0
0,0,0,0,0.006186,0,0,0.006081,0,0,0,0,0,0,0.000237
0,0.001186,0.007334,0.003138,0.001976,0,0,0,0,0,0,0,0,0,0.025061
0,0,0,0,0,0,0.028883,0,0,0,0,0,0,0,0
0.000025,0,0,0,0.005511,0,0,0,0,0,0,0,0.009289,0,0
0,0,0,0,0,0.003307,0,0,0,0,0.010221,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002646
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002218
0.007338,0,0,0,0.001342,0,0,0,0,0,0,0.011952,0.004641,0.002826,0
0.005757,0,0,0,0,0,0,0.010499,0,0,0,0.006852,0,0,0
0.002248,0,0,0,0,0,0.00352,0.001611,0.000664,0,0.002535,0,0.005765,0,0
0.003025,0.012286,0,0,0,0,0,0,0.010756,0,0.008376,0,0,0,0.016435
0,0,0,0.003018,0,0,0.02879,0,0,0,0,0,0.005582,0,0
0,0,0,0,0,0,0,0,0,0.027057,0.006063,0,0,0,0
0,0,0,0.004946,0,0,0.005255,0.009577,0,0,0.005878,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.003712,0.080104,0,0
0.005079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.011225,0,0,0,0,0
0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0.035624,0
0,0,0,0,0,0,0,0,0,0,0.00512,0,0,0,0
0,0,0,0,0,0.004623,0.001877,0.002866,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.005345,0,0,0,0.004407,0,0,0
0,0,0.002849,0,0,0,0.008713,0.00328,0,0,0.003679,0,0,0.011445,0
0.037081,0.01139,0.000023,0.001004,0.002894,0.006699,0.000013,0.000226,0.000926,0,0,0.009296,0,0,0.001653
0,0,0,0,0,0,0,0,0,0,0,0.016812,0,0,0
0,0,0,0,0,0,0.010115,0,0,0,0,0,0,0,0
0,0.006184,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.004803,0.001896,0.000009,0,0.001043,0.000796,0,0.001868,0.018278,0.007399,0,0.001757,0.002479
0.012536,0.004466,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.006284,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.001475,0,0,0.003313,0,0.007303,0,0,0,0,0,0,0
0.000087,0,0,0,0,0,0,0.000004,0.03777,0,0,0,0.000032,0.005254,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.017281,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033062
0,0,0,0,0.001869,0,0.00988,0.001895,0,0.008682,0,0,0,0,0
0,0,0,0,0,0,0.006176,0,0,0.05735,0,0,0,0,0
0,0.021956,0,0,0,0,0,0,0,0,0.008761,0,0,0,0
0,0,0,0,0.003348,0,0,0.02817,0,0,0.005319,0.003547,0,0,0.000002
0,0,0,0,0,0,0,0,0,0,0,0.000506,0,0,0.027337
0,0.01052,0,0,0,0,0,0,0,0,0,0.00404,0,0.003575,0.001832
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.04661,0,0.035801,0,0,0,0,0,0,0
0,0,0.014507,0,0,0,0,0,0,0,0,0,0,0.002014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.014669,0
0,0,0,0,0,0.007712,0,0,0,0,0,0,0,0,0
0,0.040213,0,0,0,0,0,0,0.003142,0,0,0,0,0,0.000016
0,0,0.012212,0,0,0,0,0.006639,0.001113,0,0.000128,0,0,0.003725,0.001207
0,0.005496,0.000037,0,0,0,0,0.006817,0,0,0,0.007297,0,0,0
0,0,0.012951,0,0,0,0.01099,0,0,0,0.00306,0,0.007138,0,0
0,0,0,0,0,0,0,0.004491,0,0.015016,0,0,0,0,0
0,0,0,0.005406,0,0,0,0,0,0.002946,0,0,0,0,0
0,0,0,0,0,0,0,0.003592,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.004289,0,0,0.006562,0
0,0,0,0,0,0,0,0,0,0,0,0,0.000002,0,0.063666
0,0,0,0,0,0,0,0,0.013815,0,0,0,0,0,0
0,0.006824,0,0,0,0,0,0,0,0,0,0,0,0,0.016111
0,0,0,0,0,0,0,0,0,0,0,0,0.014867,0,0
0,0.005374,0,0,0,0,0.001874,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.000137,0,0.020932,0,0,0,0,0,0.006276,0
0,0,0,0,0,0.01075,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.017264,0,0,0,0,0,0
0,0.001169,0,0,0,0,0,0,0,0.01199,0,0.005126,0.00328,0,0
0.001598,0,0.003167,0,0,0.002903,0.008432,0.00155,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.015607,0
0,0,0,0,0,0,0,0,0.008647,0,0,0,0,0,0
0,0,0,0,0.001888,0,0.00001,0,0,0.002778,0,0.006762,0,0,0.005829
0.002868,0,0,0.000001,0,0,0.003287,0,0.006945,0,0.009486,0,0.003841,0.044635,0
0,0,0,0,0,0,0,0.002856,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.022599,0,0,0.000829,0,0,0.002187,0,0,0.002015,0.001229,0,0,0
0,0,0.004652,0,0.004068,0,0.005513,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.002549,0,0.004535,0.005388,0,0,0,0,0,0,0,0.017553,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011825
0,0,0,0,0,0,0,0,0,0,0,0.005382,0,0,0
0,0,0,0,0,0,0,0.000175,0,0,0,0.008361,0,0,0.016814
0,0.005568,0,0,0,0,0,0.027061,0,0,0,0,0,0,0.005104
0,0,0,0,0,0,0,0,0,0.002952,0,0.008901,0,0,0
0,0.001021,0,0.000927,0,0,0,0,0.00103,0.012558,0.000024,0,0,0,0
0,0,0,0,0.005174,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.016879,0,0,0,0
0,0,0,0,0,0,0,0,0,0.01566,0,0.004369,0,0,0
0,0,0,0.002533,0.027461,0,0,0,0,0.00243,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003209
0,0,0,0.006485,0,0,0,0,0,0,0,0.021229,0,0.009733,0
0,0,0,0,0,0,0,0,0,0,0.008732,0,0,0,0
0,0,0,0.050241,0,0,0,0,0,0.008682,0,0,0,0,0
0,0,0,0,0,0,0,0.012108,0,0,0,0,0,0,0
0.007614,0,0,0.025067,0,0,0.001626,0.003808,0,0.003619,0,0.005484,0.004454,0,0
0,0,0,0,0,0.000005,0.02673,0,0,0,0,0.002771,0,0.001117,0
0,0,0,0,0,0,0,0,0,0.010718,0.008034,0,0.007809,0,0
0.004035,0,0,0,0,0,0,0,0,0.061956,0,0.002808,0,0,0
0,0,0,0.039603,0,0,0,0,0,0,0,0,0,0.005788,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.004335,0,0,0.007927,0,0,0,0,0,0,0
