@relation doc-subject

@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
0.000027,0,0,0,0,0,0.509369,0,0.127029,0.000842,0,0,0.362733,0,0
0.000001,0.020665,0,0.000015,0,0,0,0,0.714622,0.222162,0.042535,0,0,0,0
0,0,0,0.089594,0,0,0,0,0.910405,0,0,0,0,0.000001,0
0,0,0,0,0.000001,0,0,0.999998,0,0,0,0,0,0,0
0,0.000077,0.000001,0.000047,0.000021,0.000148,0.000213,0.000005,0.000189,0,0,0,0,0.000002,0.999296
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.108172,0,0,0,0,0.14522,0,0,0.529193,0.199806,0,0,0.017609,0,0
0.000015,0.000001,0,0,0.959323,0,0,0,0,0,0.040631,0,0,0.000003,0.000026
0.000013,0,0.000017,0.000271,0.000009,0,0,0,0,0,0.000739,0,0.000149,0,0.998801
0,0.039535,0.000698,0.004621,0,0.954623,0,0.000133,0,0.000006,0.000001,0.00003,0.000002,0.000351,0
0,0,0.070668,0,0.000066,0.000006,0.928412,0,0,0.000847,0,0,0,0,0
0.002101,0.000006,0.000457,0.228312,0.057125,0.044452,0,0.031253,0.080006,0.306215,0.013556,0.000452,0,0.000096,0.235968
0.312223,0,0,0,0,0,0.669223,0,0.00001,0,0,0,0.018543,0,0
0.005601,0.000001,0,0.00069,0.764852,0.000012,0.174027,0.000126,0.000001,0.000174,0.007903,0.001257,0.000001,0.045308,0.000047
0,0,0,0,0.873968,0.126032,0,0,0,0,0,0,0,0,0
0,0,0,0.0012,0,0,0,0.998799,0,0,0,0,0,0.000001,0
0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0.999999,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.000001,0,0.18021,0,0.000001,0,0,0.819788,0,0,0,0,0,0,0
0.085558,0,0,0,0,0,0,0,0,0.000002,0.55062,0,0.36382,0,0
0.000233,0.000001,0.000004,0.00018,0.000092,0,0,0,0.002941,0.238683,0.043446,0,0.024113,0.000148,0.690158
0.000008,0,0,0,0,0,0,0,0.000001,0.553952,0.000031,0,0.000009,0,0.445998
0.903437,0,0,0.084669,0.000869,0.010921,0,0,0,0,0,0,0,0.000071,0.000034
0.999991,0,0.000009,0,0,0,0,0,0,0,0,0,0,0,0
0.007999,0.001134,0.326703,0.247922,0.001348,0.204007,0.000072,0.021538,0.079223,0.038963,0.001084,0,0.043887,0.001644,0.024475
0.272182,0,0,0.00002,0,0,0.133057,0,0.003798,0.000041,0,0,0.590903,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.718106,0.000005,0,0,0,0.060988,0,0,0,0.220901,0,0,0,0
0,0,0.000018,0,0.03562,0.000043,0,0,0.000001,0.071747,0.892471,0,0.000001,0,0.000098
0,0.975667,0.010384,0.000265,0,0.000119,0,0.000002,0.000033,0.000015,0.000018,0,0.000007,0.013089,0.000402
0,0,0,0,0,0,0,0.999993,0,0,0,0,0,0.000007,0
0,0,0,0,0,0,0,0,0,0.000746,0,0,0,0,0.999253
0.000423,0,0,0,0,0,0.999563,0,0.000013,0,0,0,0.000001,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000171,0,0,0,0,0,0.999829,0,0
