@relation doc-subject

@attribute filename numeric
@attribute clusterID numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
2569,12,0.000512,0.346764,0.087104,0.000003,0.374714,0.047266,0.000109,0,0,0.000001,0.021154,0.102637,0.007532,0.000408,0.011796
549,11,0,0,0.000001,0.000005,0,0.609507,0,0.379139,0.002371,0,0.000019,0.001415,0.000001,0.007543,0
2488,12,0.177,0.092029,0.238072,0.026792,0.000006,0.000436,0.00001,0,0.000008,0.000001,0.000021,0.000085,0.465522,0.000009,0.00001
901,12,0.007858,0.345113,0.000082,0.056714,0.000019,0.00242,0.005304,0.002955,0.000013,0.000002,0,0.083224,0.496295,0,0
721,12,0.177,0.092029,0.238072,0.026792,0.000006,0.000436,0.00001,0,0.000008,0.000001,0.000021,0.000085,0.465522,0.000009,0.00001
771,12,0.000051,0.437707,0.000467,0,0,0.000007,0,0,0,0,0.000034,0.561099,0.00063,0.000005,0
42,12,0.015043,0,0.001673,0.00001,0,0.000109,0.000026,0,0,0,0.000005,0.502345,0,0.00002,0.48077
684,12,0.000512,0.346764,0.087104,0.000003,0.374714,0.047266,0.000109,0,0,0.000001,0.021154,0.102637,0.007532,0.000408,0.011796
804,12,0.433279,0.000001,0.000194,0.00016,0.032404,0.000011,0,0.038281,0.000129,0.000017,0.002879,0.00299,0.243478,0.246156,0.000021
635,12,0.40271,0.006305,0.000049,0.000208,0.000002,0.000007,0.01378,0.000008,0.00029,0,0.213323,0.000016,0.293093,0.070199,0.00001
669,12,0.001527,0.028682,0.428135,0.003493,0.039308,0.009193,0.261606,0,0.000004,0,0.000596,0,0.000001,0.042971,0.184482
485,16,0.000001,0,0.00001,0,0.000001,0.000003,0.413173,0.000214,0.006199,0,0,0,0.042176,0.536389,0.001833
2565,12,0.015043,0,0.001673,0.00001,0,0.000109,0.000026,0,0,0,0.000005,0.502345,0,0.00002,0.48077
654,12,0.008767,0.404065,0.028188,0.150763,0.00015,0.004342,0.052682,0.000014,0.013778,0.000075,0.127164,0.141994,0.002079,0.065938,0.000001
209,12,0.201521,0.000069,0.00001,0,0.000001,0,0.000013,0.000117,0.00463,0,0.000153,0.000328,0.494931,0.298157,0.000069
626,12,0.000103,0.482427,0.000025,0,0,0.000042,0.00052,0.002411,0,0.015922,0.001911,0.407897,0.000238,0.085655,0.002849
489,12,0.111346,0.068703,0.358216,0.006452,0.148784,0.018334,0.017508,0.049969,0.000001,0.000035,0.182066,0.015911,0.00218,0.000431,0.020066
89,12,0.066105,0.172109,0.030601,0.000076,0.140288,0.000403,0.074104,0.003966,0.003914,0.005458,0.010085,0.164041,0.327673,0.001066,0.00011
271,12,0.000826,0.381718,0.000472,0.001951,0.070827,0.000958,0.000424,0.155915,0.004583,0.131944,0.075825,0.010705,0.000161,0.000111,0.163579
2408,11,0,0,0.000001,0.000005,0,0.609507,0,0.379139,0.002371,0,0.000019,0.001415,0.000001,0.007543,0
2627,12,0.433279,0.000001,0.000194,0.00016,0.032404,0.000011,0,0.038281,0.000129,0.000017,0.002879,0.00299,0.243478,0.246156,0.000021
203,12,0.399518,0.006707,0.108112,0.064755,0.048002,0.025215,0.000321,0.017239,0.003998,0.094827,0.000211,0.000009,0.003756,0.000139,0.22719
226,12,0.000005,0.316252,0.384329,0.274696,0.000581,0.000105,0.021993,0,0,0.000004,0.000598,0.000058,0,0.000025,0.001354
498,16,0.000339,0.002355,0.004141,0.196733,0.08552,0.076952,0.000154,0.000013,0.002274,0.006623,0.165595,0.00502,0.053764,0.4005,0.000016
882,12,0.000077,0,0.000001,0.001121,0.004123,0,0.000003,0,0,0.237741,0,0.445882,0,0.000017,0.311033
2449,12,0.007858,0.345113,0.000082,0.056714,0.000019,0.00242,0.005304,0.002955,0.000013,0.000002,0,0.083224,0.496295,0,0
140,12,0.000063,0.433301,0.012769,0.396023,0.060477,0,0.09109,0.000001,0,0.000309,0.005465,0.000213,0.000276,0.000011,0.000003
21,12,0.00046,0.000363,0,0,0.132135,0,0.000188,0.023017,0.000009,0.000001,0.127036,0.264934,0.302714,0.146158,0.002985
304,12,0.071763,0.290982,0.025448,0.008697,0.000011,0.00441,0.000367,0.042254,0,0.001357,0.045985,0.121501,0.387164,0,0.000062
618,12,0.034006,0.061661,0.139114,0.000564,0.039697,0.00012,0.011677,0.003758,0.000159,0.230666,0.040929,0.020432,0.008211,0.013207,0.395797
180,12,0.079178,0.318196,0.307437,0.131174,0.000002,0.003408,0.000016,0.024852,0.000015,0.002397,0.000043,0.099018,0.012273,0.021942,0.00005
286,12,0.044296,0.388548,0.170421,0.023261,0.214429,0.133563,0.000001,0,0,0.000078,0.012243,0.000695,0.01244,0,0.000025
739,12,0.015506,0.182255,0.000141,0.000012,0.033148,0.000912,0.034231,0.040408,0.001488,0.355784,0.026625,0.219522,0.088812,0.001139,0.000018
440,13,0.000014,0.026979,0.077856,0.003418,0.106988,0.104068,0.392063,0,0.000003,0.00124,0.195142,0.006512,0.032347,0.0073,0.046071
2508,12,0.000051,0.437707,0.000467,0,0,0.000007,0,0,0,0,0.000034,0.561099,0.00063,0.000005,0
4205,14,0,0.00001,0,0,0.99999,0,0,0,0,0,0,0,0,0,0
4770,12,0.010583,0.942697,0,0,0,0,0.000003,0,0.000439,0.046244,0,0,0.000033,0,0
3604,14,0,0,0,0.000081,0.984195,0,0,0.010841,0,0.000001,0,0.000718,0.004158,0,0.000006
4538,12,0.066881,0.888372,0,0,0,0,0.000001,0,0,0.000256,0,0.000002,0.044488,0,0
3643,14,0,0.000887,0,0,0.972838,0.000001,0.00002,0,0.001236,0.000029,0.024863,0,0,0.000003,0.000123
4373,12,0.000004,0.927096,0.006864,0,0.011721,0,0,0,0,0.000222,0.026603,0.000001,0,0.027387,0.000101
3833,12,0,0.86019,0,0,0,0,0,0,0,0.051636,0,0,0.088174,0,0
3774,12,0.010583,0.942697,0,0,0,0,0.000003,0,0.000439,0.046244,0,0,0.000033,0,0
4490,14,0.000001,0,0.000972,0.000555,0.948259,0.000001,0.000021,0.050154,0,0,0.000026,0.000001,0.000009,0,0
4446,14,0,0.000002,0,0,0.971227,0,0.028359,0,0.000002,0,0.000002,0,0,0.000407,0.000001
4569,14,0,0.00001,0,0,0.99999,0,0,0,0,0,0,0,0,0,0
4628,14,0,0,0,0.000081,0.984195,0,0,0.010841,0,0.000001,0,0.000718,0.004158,0,0.000006
3895,14,0,0.000001,0,0,0.999999,0,0,0,0,0,0,0,0,0,0
4123,14,0,0.000431,0,0,0.990102,0.000051,0,0,0,0,0.004961,0,0,0.004376,0.000078
3584,14,0,0.000004,0,0,0.985302,0.000001,0.000023,0.001579,0,0,0.013039,0,0,0.000051,0
3966,14,0.000001,0.000001,0,0.000001,0.993014,0.005125,0.000001,0.001584,0.000267,0,0,0,0,0,0.000005
4410,14,0.000007,0,0,0.000009,0.952887,0,0.000008,0,0.029268,0,0.000019,0.00002,0.000009,0.000006,0.017766
4386,14,0,0,0.007485,0,0.93444,0.016527,0.000001,0.041168,0,0,0.000037,0.000069,0.000002,0.000268,0
3812,14,0,0,0.000001,0.000016,0.986699,0,0,0.000062,0,0,0.000014,0.000701,0,0.012504,0.000001
4641,12,0.066881,0.888372,0,0,0,0,0.000001,0,0,0.000256,0,0.000002,0.044488,0,0
4694,12,0.000004,0.927096,0.006864,0,0.011721,0,0,0,0,0.000222,0.026603,0.000001,0,0.027387,0.000101
4671,14,0,0.000887,0,0,0.972838,0.000001,0.00002,0,0.001236,0.000029,0.024863,0,0,0.000003,0.000123
4369,14,0.003343,0.001901,0,0.000016,0.992224,0.000003,0,0.000041,0.00006,0.000469,0.000015,0.000003,0.000011,0.000001,0.001913
3766,12,0.000686,0.958319,0.000767,0.00002,0.000008,0,0,0,0.00014,0.036299,0.000169,0.000036,0.000007,0.002548,0.001
4751,12,0,0.86019,0,0,0,0,0,0,0,0.051636,0,0,0.088174,0,0
3781,14,0.000001,0.000001,0.017029,0.000002,0.969615,0.00003,0.000007,0.00441,0,0,0.004613,0.000043,0.000006,0.004226,0.000017
4800,14,0.000001,0,0.000972,0.000555,0.948259,0.000001,0.000021,0.050154,0,0,0.000026,0.000001,0.000009,0,0
3979,14,0.000083,0,0.000194,0.000685,0.973751,0.002919,0.016446,0.00436,0,0,0.00007,0,0,0.001489,0.000002
3681,12,0,0,0,0,0,0,0,0,0.000288,0,0,0.999024,0,0.000688,0
4742,12,0.033643,0.176568,0.001034,0.005841,0.000034,0.000004,0.094342,0.000021,0.002597,0.658297,0.000965,0.009592,0.002978,0.014049,0.000037
4205,14,0,0.00001,0,0,0.99999,0,0,0,0,0,0,0,0,0,0
4281,12,0.01149,0.081475,0.000003,0.000379,0.000004,0.005603,0.000949,0,0.000001,0.847212,0.000099,0.00995,0.01907,0.000133,0.023633
4768,12,0.000054,0,0.270528,0.011607,0.019903,0.000001,0.000418,0.524371,0.07082,0.011474,0.000144,0.00015,0.07202,0.018509,0
4288,12,0.250649,0.000063,0.000049,0,0,0.00002,0.001156,0,0,0.00009,0.005801,0.031286,0.692552,0.018336,0
4259,12,0.965428,0,0,0,0.000004,0,0.000156,0,0,0,0,0.001946,0.032466,0,0
