@relation doc-subject

@attribute clusterID numeric
@attribute filename numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
-1,3339,0.092197,0.034784,0.007876,0.128468,0.033054,0.068186,0.074441,0.062759,0.014739,0.141321,0.016024,0.040779,0.08797,0.10594,0.091464
-1,2896,0.004654,0.01059,0.102557,0.035028,0.093528,0.03251,0.112085,0.05114,0.127337,0.079945,0.103378,0.045423,0.054914,0.046462,0.100449
-1,3418,0.046446,0.037327,0.063969,0.001296,0.138495,0.047687,0.11096,0.052163,0.132328,0.110474,0.024992,0.068743,0.081028,0.083205,0.000887
-1,2909,0.037337,0.051064,0.009918,0.015023,0.175432,0.054807,0.021012,0.089747,0.021212,0.049204,0.135197,0.13595,0.048447,0.03249,0.123159
-1,3385,0.015455,0.001099,0.046334,0.075586,0.071563,0.098409,0.133322,0.081243,0.060341,0.032543,0.000575,0.092688,0.095592,0.082262,0.112988
-1,3223,0.119617,0.044673,0.057064,0.093623,0.102043,0.019288,0.061693,0.09385,0.09437,0.140434,0.016728,0.012517,0.029076,0.008944,0.106078
-1,3233,0.108907,0.062601,0.02611,0.116517,0.127534,0.07636,0.008366,0.004724,0.037989,0.081313,0.006759,0.096485,0.119592,0.067346,0.059397
-1,3047,0.055482,0.044772,0.104468,0.097937,0.020974,0.029434,0.0225,0.002242,0.141686,0.090159,0.118613,0.088337,0.004247,0.052739,0.126409
-1,3124,0.008552,0.078439,0.111777,0.063163,0.016364,0.08203,0.024214,0.001574,0.065796,0.012734,0.144865,0.038741,0.090329,0.108483,0.152939
-1,2985,0.030841,0.013809,0.036949,0.123327,0.010524,0.059431,0.074129,0.141361,0.10544,0.025512,0.0494,0.038536,0.096604,0.109968,0.08417
-1,3325,0.006263,0.058271,0.058592,0.076378,0.133901,0.017519,0.071022,0.096223,0.041732,0.152834,0.040101,0.089214,0.077517,0.032141,0.048293
-1,3081,0.049472,0.06912,0.069466,0.03243,0.155066,0.072004,0.037746,0.079001,0.04336,0.064506,0.016559,0.051666,0.001229,0.161192,0.097182
-1,3014,0.13723,0.067421,0.067491,0.009639,0.119529,0.068306,0.091716,0.019536,0.137022,0.04326,0.007917,0.021146,0.105175,0.000672,0.103939
-1,2897,0.025234,0.023039,0.107111,0.043477,0.102876,0.111289,0.047589,0.027237,0.077709,0.089324,0.099092,0.004373,0.105591,0.117209,0.01885
-1,3051,0.056075,0.112433,0.10051,0.046947,0.017986,0.006084,0.06375,0.01636,0.103848,0.059274,0.083999,0.095888,0.021309,0.085346,0.13019
-1,3166,0.112339,0.011914,0.033718,0.027066,0.027197,0.07051,0.119372,0.018013,0.125395,0.098673,0.047504,0.041407,0.030799,0.091199,0.144893
-1,3106,0.003368,0.019664,0.003312,0.094189,0.063266,0.084687,0.088469,0.0408,0.137129,0.135357,0.028771,0.008025,0.153009,0.018253,0.121701
-1,2942,0.084671,0.002523,0.029736,0.036179,0.190462,0.057392,0.10286,0.047156,0.004912,0.101717,0.078039,0.052777,0.134417,0.036654,0.040505
-1,2885,0.079007,0.079871,0.135889,0.013376,0.091701,0.136275,0.131266,0.012351,0.015216,0.025083,0.001661,0.116708,0.042863,0.052618,0.066114
-1,3065,0.030535,0.090283,0.036512,0.014475,0.057769,0.034326,0.022036,0.0866,0.063853,0.126806,0.140989,0.078642,0.085812,0.032743,0.098619
-1,3096,0.01919,0.0144,0.142721,0.101588,0.162622,0.003112,0.017241,0.032323,0.102722,0.029218,0.142002,0.126912,0.021504,0.058152,0.026293
-1,3098,0.019137,0.117976,0.036203,0.030516,0.116743,0.055271,0.00007,0.022972,0.11764,0.089174,0.015983,0.096899,0.151661,0.112473,0.017285
