@relation doc-subject

@attribute filename numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
3323,0.009829,0.056515,0.071294,0.075502,0.108563,0.050961,0.121671,0.088178,0.045486,0.001693,0.012307,0.133389,0.047013,0.086679,0.090921
3233,0.067948,0.118959,0.13144,0.007631,0.059524,0.043258,0.07637,0.042843,0.064402,0.00906,0.036174,0.046087,0.081271,0.102825,0.112207
3529,0.048231,0.052351,0.078498,0.074034,0.001132,0.065504,0.072747,0.057488,0.078574,0.090971,0.086283,0.071771,0.080948,0.031019,0.110448
3234,0.076761,0.084493,0.054828,0.066635,0.021662,0.043152,0.13656,0.011375,0.118385,0.066951,0.096129,0.095064,0.020168,0.059257,0.048581
3499,0.015272,0.082917,0.022159,0.026735,0.077521,0.062036,0.066307,0.080164,0.06176,0.144443,0.020112,0.047021,0.0811,0.136356,0.076096
3285,0.104889,0.09355,0.102868,0.01002,0.006888,0.129601,0.169395,0.055102,0.058641,0.006784,0.111981,0.008225,0.07161,0.055028,0.015418
3510,0.067511,0.083423,0.046021,0.094278,0.081377,0.071801,0.045785,0.122605,0.035699,0.015178,0.116302,0.088103,0.03479,0.014832,0.082295
2922,0.081577,0.043006,0.075531,0.053532,0.03876,0.069597,0.004475,0.061923,0.091342,0.147214,0.006939,0.002366,0.115161,0.135162,0.073415
3501,0.040825,0.051952,0.006096,0.098124,0.131606,0.070167,0.083653,0.088461,0.003983,0.045792,0.034549,0.085747,0.030355,0.111824,0.116867
3077,0.028195,0.042109,0.065354,0.000507,0.1502,0.075324,0.007443,0.126731,0.127478,0.018873,0.075507,0.005507,0.087167,0.065046,0.12456
3303,0.116778,0.010289,0.093199,0.101534,0.083432,0.06312,0.001489,0.033641,0.090131,0.030775,0.097439,0.06976,0.09164,0.083908,0.032865
