@relation doc-subject

@attribute filename numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
463,0.038057,0.002419,0.027479,0.410157,0.225549,0.014803,0.000063,0.040861,0.000982,0.004361,0.182262,0.00063,0.005801,0.046466,0.000109
620,0.000036,0.000195,0.023837,0.441873,0.388849,0.004731,0.000151,0,0.000001,0.000003,0.027316,0.004495,0.031769,0.068213,0.008529
532,0.000001,0.000315,0.327959,0.000219,0.072762,0.003411,0.001894,0.001868,0.286641,0.000013,0.275441,0.005773,0.005672,0.009907,0.008122
719,0.048919,0.050986,0.000783,0.000001,0.106484,0.000081,0.031482,0.000031,0,0.000256,0.240289,0.096724,0.112373,0.280467,0.031123
769,0.394867,0.001235,0.054165,0.000116,0.236453,0.001608,0.070188,0.000022,0.000015,0.000308,0.187885,0.024151,0.006095,0.003339,0.019552
378,0.445041,0.000001,0,0.000005,0.027248,0,0,0.04276,0,0.000001,0.320584,0.161199,0.000397,0.002764,0
359,0.009477,0.00002,0.046224,0.00002,0.029701,0.004686,0.019063,0.000002,0,0.274973,0.007418,0.236851,0.000047,0.000001,0.371516
2431,0.038057,0.002419,0.027479,0.410157,0.225549,0.014803,0.000063,0.040861,0.000982,0.004361,0.182262,0.00063,0.005801,0.046466,0.000109
687,0.262101,0.000195,0.000045,0.000073,0.0915,0.009543,0.000041,0.261878,0.016171,0,0.025156,0.000127,0.270315,0.062849,0.000007
2593,0.445041,0.000001,0,0.000005,0.027247,0,0,0.04276,0,0.000001,0.320584,0.161199,0.000397,0.002764,0
2604,0.009477,0.00002,0.046224,0.00002,0.029701,0.004686,0.019063,0.000002,0,0.274973,0.007418,0.236851,0.000047,0.000001,0.371516
288,0.004682,0.036123,0.02743,0.000186,0.216436,0.31255,0.000179,0.000038,0.063,0.000383,0.002204,0.000131,0.09505,0.130006,0.111604
528,0.084749,0.000062,0.000012,0.000036,0.000002,0.000009,0.124238,0.000006,0.000027,0.000001,0.00001,0.326944,0.145502,0.317799,0.000605
85,0.482022,0.000001,0.000021,0.00041,0.003409,0.000011,0,0.000002,0,0.034192,0.477816,0,0.000222,0.001893,0.000001
2519,0.394867,0.001235,0.054165,0.000116,0.236453,0.001608,0.070188,0.000022,0.000015,0.000308,0.187885,0.024151,0.006095,0.003339,0.019552
69,0.000039,0.000053,0.102162,0.023265,0.139561,0.258475,0.000006,0.00004,0.000442,0.000007,0.180389,0.046522,0.028309,0.160011,0.06072
690,0.410847,0.000113,0.018261,0,0.218176,0.000945,0.325857,0.00001,0.000054,0.000657,0.000018,0.000005,0.024977,0,0.00008
